DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1007/s00778-020-00608-7,,,"Context-aware, preference-based vehicle routing","Vehicle routing is an important service that is used by both private individuals and commercial enterprises. Drivers may have different contexts that are characterized by different routing preferences. For example, during different times of day or weather conditions, drivers may make different routing decisions such as preferring or avoiding highways. The increasing availability of vehicle trajectory data yields an increasingly rich data foundation for context-aware, preference-based vehicle routing. We aim to improve routing quality by providing new, efficient routing techniques that identify and take contexts and their preferences into account. In particular, we first provide means of learning contexts and their preferences, and we apply these to enhance routing quality while ensuring efficiency. Our solution encompasses an off-line phase that exploits a contextual preference tensor to learn the relationships between contexts and routing preferences. Given a particular context for which trajectories exist, we learn a routing preference. Then, we transfer learned preferences from contexts with trajectories to similar contexts without trajectories. In the on-line phase, given a context, we identify the corresponding routing preference and use it for routing. To achieve efficiency, we propose preference-based contraction hierarchies that are capable of speeding up both off-line learning and on-line routing. Empirical studies with vehicle trajectory data offer insight into the properties of proposed solution, indicating that it is capable of improving quality and is efficient.","Chenjuan Guo,Bin Yang,Jilin Hu,Christian S. Jensen,Lu Chen",The Vldb Journal,2020
10.1109/iccve52871.2022.9742971,,,Context-aware vehicle and fleet security combining a Knowledge Graph and an object-oriented model,"A growing number of attacks and the introduction of new security standards, e.g. ISO 21434, are increasingly shifting the focus of industry and research to the cybersecurity of vehicles. Being cyber-physical systems, compromised vehicles can pose a safety risk to occupants and the environment. Updates over the air and monitoring of the vehicle fleet over its entire lifespan are therefore established in current and future vehicles. Elementary components of such a strategy are security sensors in the form of firewalls and intrusion detection systems, for example, and an operations center where monitoring and response activities are coordinated. A critical step in defending against, detecting, and remediating attacks is providing knowledge about the vehicle and fleet context. Whether a vehicle is driving on the highway or parked at home, what software version is installed, or what security incidents have occurred affect the legitimacy of data and network traffic. However, current security measures lack an understanding of how to operate in an adjusted manner in different contexts. This work is therefore dedicated to a concept to make security measures for vehicles context-aware. We present our approach, which consists of an object-oriented model of relevant context information within the vehicle and a Knowledge Graph for the fleet. With this approach, various use cases can be addressed, according to the different requirements for the use of context knowledge in the vehicle and operations center.","Daniel Grimm,Eric Sax",2022 International Conference on Connected Vehicle and Expo (ICCVE),2022
10.3390/ijgi10050336,,,A Dynamic and Static Context-Aware Attention Network for Trajectory Prediction,"Forecasting the motion of surrounding vehicles is necessary for an autonomous driving system applied in complex traffic. Trajectory prediction helps vehicles make more sensible decisions, which provides vehicles with foresight. However, traditional models consider the trajectory prediction as a simple sequence prediction task. The ignorance of inter-vehicle interaction and environment influence degrades these models in real-world datasets. To address this issue, we propose a novel Dynamic and Static Context-aware Attention Network named DSCAN in this paper. The DSCAN utilizes an attention mechanism to dynamically decide which surrounding vehicles are more important at the moment. We also equip the DSCAN with a constraint network to consider the static environment information. We conducted a series of experiments on a real-world dataset, and the experimental results demonstrated the effectiveness of our model. Moreover, the present study suggests that the attention mechanism and static constraints enhance the prediction results.","Jian Yu,Meng Zhou,Wang Xin,Guoliang Pu,Chengqi Cheng,Bo Chen",ISPRS international journal of geo-information,2021
10.1016/j.trc.2021.103453,,2104.08123,A context-aware pedestrian trajectory prediction framework for automated vehicles,,"Arash Kalatian,B. Farooq",Transportation Research Part C: Emerging Technologies,2021
10.3390/vehicles3040042,,,Context-Aware Sensor Uncertainty Estimation for Autonomous Vehicles,"Sensor uncertainty significantly affects the performance of autonomous vehicles (AVs). Sensor uncertainty is predominantly linked to sensor specifications, and because sensor behaviors change dynamically, the machine learning approach is not suitable for learning them. This paper presents a novel learning approach for predicting sensor performance in challenging environments. The design of our approach incorporates both epistemic uncertainties, which are related to the lack of knowledge, and aleatoric uncertainties, which are related to the stochastic nature of the data acquisition process. The proposed approach combines a state-based model with a predictive model, where the former estimates the uncertainty in the current environment and the latter finds the correlations between the source of the uncertainty and its environmental characteristics. The proposed approach has been evaluated on real data to predict the uncertainties associated with global navigation satellite systems (GNSSs), showing that our approach can predict sensor uncertainty with high confidence.","Mohammed Alharbi,Hassan A. Karimi",Vehicles,2021
10.3390/smartcities4010019,,,A Review of Car-Following Models and Modeling Tools for Human and Autonomous-Ready Driving Behaviors in Micro-Simulation,"The platform of a microscopic traffic simulation provides an opportunity to study the driving behavior of vehicles on a roadway system. Compared to traditional conventional cars with human drivers, the car-following behaviors of autonomous vehicles (AVs) and connected autonomous vehicles (CAVs) would be quite different and hence require additional modeling efforts. This paper presents a thorough review of the literature on the car-following models used in prevalent micro-simulation tools for vehicles with both human and robot drivers. Specifically, the car-following logics such as the Wiedemann model and adaptive cruise control technology were reviewed based on the vehicle’s dynamic behavior and driving environments. In addition, some of the more recent “AV-ready (autonomous vehicles ready) tools” in micro-simulation platforms are also discussed in this paper.","Hafiz Usman Ahmed,Ying Huang,Pan Lu",Smart Cities,2021
10.1109/access.2019.2922766,,,Vehicular Network Simulation Environment vi,,a Discrete Event System Modeling,"A vehicular ad-hoc network (VANET) enables vehicles to communicate with each other directly or via roadside infrastructure in order to improve road safety and efficiency. Within a VANET, communications can potentially alter vehicular mobility and conversely, that the mobility could potentially influence vehicular communications. Therefore, a VANET simulator environment is needed that can accurately model interactions between vehicular mobility and network protocols. In this paper, we present a novel vehicular network simulation environment designed using the MATLAB discrete event system (DES) in the SimEvents toolbox. The proposed simulation environment is a bit-accurate, discrete event simulator that integrates vehicular mobility operations with wireless network communication. This paper provides details on the design of the proposed simulator. Its computational costs are evaluated in terms of events quantities and execution time. The physical (PHY) layer of the proposed simulator shows a more realistic packet success rate (PSR) using bit-level processing techniques when compared with the packet-based NS-3 simulator. The performance of the priority-based media access control (MAC) layer proves the data with different priorities that can coexist in the same channel.","Le Wang,Renato F. Iida,Alexander M. Wyglinski",IEEE Access,2019
,,,A MODEL FOR TRAFFIC SIMULATION,"The impairment to man and environment by a steadily increasing traffic volume requires concrete solutions now more urgently than ever before. This problem can, however, only be coped with from a scientific point of view, when founded knowledge exists of the very complex interconnections of the system called 'traffic'. Regarding the enormous costs of experimental investigations undertaken to influence traffic purposefully, the significance of theoretical considerations prior to necessary field-tests can easily be seen. This paper will not only illustrate the development of such a model of traffic simulation, but also show first results thereof.",H T Fritzsche,Traffic engineering and control,1994
10.1007/978-3-030-16577-2_5,,,Computational Intelligence for Simulating a LiDAR Sensor,"In this chapter, an overview of some of the most commonly computational intelligence techniques used to provide new capabilities to sensor networks in Cyber-Physical and Internet-of-Things environments, and for verifying and evaluating the reliability issues of sensor networks is presented. Nowadays, on-chip Light Detection and Ranging (LiDAR) concept has driven a great technological challenge into sensor networks application for Cyber-Physical and Internet-of-Things systems. Therefore, the modelling and simulation of a LiDAR sensor networks is also included in this chapter that is structured as follows. First, a brief description of the theoretical modelling of the mathematical principle of operation is outlined. Subsequently, a review of the state-of-the-art of computational intelligence techniques in sensor system simulations is explained. Likewise, a use case of applying computational intelligence techniques to LiDAR sensor networks in a Cyber-Physical System environment is presented. In this use case, a model library with four specific artificial intelligence-based methods is also designed based on sensory information database provided by the LiDAR simulation. Some of them are multi-layer perceptron neural network, a self-organization map, a support vector machine, and a k-nearest neighbour. The results demonstrate the suitability of using computational intelligence methods to increase the reliability of sensor networks when addressing the key challenges of safety and security in automotive applications.","Fernando Castaño,Fernando Castaño,Gerardo Beruvides,Gerardo Beruvides,Alberto Villalonga,Alberto Villalonga,Rodolfo E. Haber",,2020
10.1155/2022/9916292,,,Sim-to-Real Reinforcement Learning for Autonomous Driving Using Pseudosegmentation Labeling and Dynamic Calibration,"Applying reinforcement learning algorithms to autonomous driving is difficult because of mismatches between the simulation in which the algorithm was trained and the real world. To address this problem, data from global navigation satellite systems and inertial navigation systems (GNSS/INS) were used to gather pseudolabels for semantic segmentation. A very simple dynamics model was used as a simulator, and dynamic parameters were obtained from the linear regression of manual driving records. Segmentation and a dynamic calibration method were found to be effective in easing the transition from a simulation to the real world. Pseudosegmentation labels are found to be more suitable for reinforcement learning models. We conducted tests on the efficacy of our proposed method, and a vehicle using the proposed system successfully drove on an unpaved track for approximately 1.8 km at an average speed of 26.57 km/h without incident.","Jiseong Heo,Hyoung woo Lim",Journal of Robotics,2022
10.1155/2022/3873639,,,Computational Validation of the Best Tuning Method for a Vehicle-Integrated PID Controller,"This paper validates and analyzes the robustness of the proportional-integral-derivative (PID) action controller from an open transfer function that integrates a proportional-integral (PI) action controller to obtain the response of a robust action control during the automatic parking maneuver of a vehicle where the simulations are based on 3 adjustment methods: Ziegler-Nichols (ZN), Chien-Hrones-Reswick (CHR), and Cohen-Coon (CC), and as a result of the computer simulations, it is determined the best performance index of the PID controller represented by mathematical and graphic equations with the help of MATLAB/Simulink software.","Calequela J. T. Manuel,Max M. D. Santos,G. Lenzi,A. Tusset",Modelling and Simulation in Engineering,2022
10.1155/2022/9374118,,,Active Lane-Changing Control of Intelligent Vehicle on Curved Section of Expressway,"In order to improve the intelligent vehicle lane-changing performance, an active lane-changing control algorithm is proposed considering the changes of road curvature and vehicle speed. Firstly, the vehicle dynamics model considering vehicle speed variation and lane-changing safety distance is established, and the expected lane-changing trajectory model under the curved road is designed simultaneously. Then, taking the yaw rate and longitudinal speed as the control objectives of lateral and longitudinal motions, respectively, the sliding-mode variable structure control method based on Lyapunov stability condition is adopted, and the trajectory tracking controller is designed by combining the inverted method to track the desired lane-changing trajectory. Finally, the lane-changing trajectory model and trajectory tracking controller are verified in simulation platform of CarSim/Simulink and hardware-in-the-loop (HIL) test bench. The results show that the proposed trajectory tracking control method can perform the lane-changing behavior well under different road curvatures and vehicle speeds while maintaining high trajectory tracking control accuracy.","Pengfei Feng,Huiqing Jin,Linfeng Zhao,Mingyu Lu",Modelling and Simulation in Engineering,2022
10.1155/2022/8348726,,,Modeling and Simulation of Traffic Congestion for Mixed Traffic Flow with Connected Automated Vehicles: A Cell Transmission Model Approach,"Connected automated vehicles (CAVs) can significantly shorten the headway of car following, thereby effectively improving the traffic capacity and injecting new power to alleviate traffic congestion. To investigate the congestion characteristics of mixed traffic flow with CAVs and human-driven vehicles (HDVs), this paper proposes a cell transmission model to capture and simulate traffic congestion for mixed traffic flow. Firstly, the Newell, adaptive cruise control (ACC), and cooperative adaptive cruise control (CACC) models are adopted to capture the car-following behavior of different vehicles. Secondly, the fundamental diagram under different penetration rates of CAVs is derived based on car-following models. Then, the cell transmission model (CTM) of mixed traffic flow is developed based on the classical CTM and fundamental diagram of mixed traffic flow. Finally, two simulation methods, mixed traffic flow CTM and micro-simulation, are designed to verify the effectiveness of the proposed model. Moreover, taking the moving bottleneck on the expressway as an example, the congestion characteristics of mixed traffic flow are analyzed using multiple indexes, such as average travel speed, congestion delay, and congestion scale. The results show the following: (i) CAVs can significantly alleviate traffic congestion, (ii) the duration of the bottleneck is positively correlated with the degree of traffic congestion, and (iii) The traffic congestion assessment results under different model parameters slightly differ, but the impact is negligible.","Yunxia Wu,Yalan Lin,R. Hu,Zilan Wang,Bin Zhao,Zhihong Yao",Journal of Advanced Transportation,2022
10.1109/tim.2022.3158998,,,V2I-CARLA: A novel dataset and a method for vehicle re-Identification based V2I environment,"V2I is the current development trend for modern day intelligent transportation systems, and corresponds to an emerging topic in the field of automatic driving. In perceptual task of road vehicle collaboration, vehicle cross-camera matching plays a key role in achieving automatic driving vehicles overview blind zone perception. Existing re-identification methods for vehicles cross-camera matching ignore the vehicle detailed characteristics. Considering the shortage of vision distance and a single perspective overlapping problem from the existing datasets, this paper builds a vehicle re-identification data set V2I-Carla based on an automatic driving simulator, thereby matching the same vehicle successfully when the common feature is few at different perspectives. For the re-identification task, this paper proposes a method for vehicle re-identification by introducing a pyramid method, which tends to obtain multi-scale features of the vehicle under different cameras, capturing subtle features difference between the vehicles with similar appearance. Simultaneously, circle loss is used in this work for network optimization, and the network is more distinguished. We evaluated our method on V2I-Carla data-set and Veri776 dataset. The experimental results show the superiority of our method, which renders significant improvement over the baseline on different datasets.The dataset V2I-CARLA is available at the https://github.com/Yx1322441675/V2I-CARLA.","Hai Wang,Xin Yuan,Yingfeng Cai,Long Chen,Yicheng Li",IEEE Transactions on Instrumentation and Measurement,2022
10.1109/mvt.2017.2787272,,,The Future of Vehicular Security and Privacy [From the Guest Editors],"This special issue of IEEE Vehicular Technology Magazine presents the latest findings and perspectives on the emerging and important area of vehicular security and privacy. Five articles form this special issue, all of which introduce a breadth of new solutions that will help the community combat the growing threat of vehicular cyberattacks. These solutions include cryptographic methods, blockchain, and new architectural considerations for CAN to protect these transportation systems both from a wireless perspective as well as from inside the vehicle itself.","Alexander M. Wyglinski,James Irvine,Joseph Chapman",IEEE Vehicular Technology Magazine,2018
10.1109/mvt.2017.2647814,,,Securing Vehicular Controller Area Networks: An Approach to Active Bus-Level Countermeasures,"With the increasing number of embedded processors and wireless interfaces being incorporated into modern automobiles, cybersecurity is emerging as a major concern for the automotive industry [1], [2]. Numerous remote attack surfaces and a high level of computer-controlled critical systems make security of automotive networks an increasingly complex technical challenge [3], [4]. Many researchers have demonstrated attacks that leverage a car's wireless interfaces to gain access to internal communication buses [5], [6]. With bus level access, an attacker has the ability to control or manipulate critical systems, such as the antilock brakes and cruise control, potentially affecting driver safety [7], [8].","Hristos Giannopoulos,Alexander M. Wyglinski,Joseph Chapman",IEEE Vehicular Technology Magazine,2017
10.1109/vtcfall.2018.8690568,,,Secure Distributed Anonymous Data Collection for Vehicular Ad-Hoc Networks,"In this paper, we propose a VANET architecture capable of securing anonymous data collection from a distributed set of autonomous vehicles. The proposed architecture features a hybrid combination of centralized and decentralized routing concepts. Unlike other VANET implementations, our proposed architecture allows lower latency by having a ad hoc routing option as well as greater availability via the centralized methods. The proposed architecture guarantees user anonymity within the VANET framework. Most VANET models assume most users do not value the privacy of their identity. We assume that each vehicle is equipped with a VANET computer capable of storing data, and that vehicles can communicate directly with each other and exchange data within short distances.","Jabari Stegall,Alexander M. Wyglinski",2018 IEEE 88th Vehicular Technology Conference (VTC-Fall),2018
10.1145/3307772.3328283,,,Mitigating Trust Issues in Electric Vehicle Charging using a Blockchain,"Energy systems are rapidly becoming decentralized due to advances in distributed renewable generation, storage technologies, and electric vehicles (EVs). One consequence of decentralization is the loss of a central trusted party. There is, therefore, a need for a solution that enables interactions between mutually untrusting agents. In this paper, we present a general methodology for blockchain-oriented system design and demonstrate its use to design a system for EV charging in a decentralized network of charging stations. We also show how a blockchain can be integrated with minimal changes to a legacy back end. Our solution is scheduled for roll-out by the EV charging service provider SWTCH in the near future.","Christian Gorenflo,Lukasz Golab,Srinivasan Keshav",e-Energy,2019
10.1109/mits.2018.2889714,,,Intelligent Transportation System Security: Impact-Oriented Risk Assessment of in-Vehicle Networks,"The concept of Intelligent Transportation Systems (ITS) was developed in the 1980s when then upcoming technologies and cognitive information were incorporated into the road infrastructures and vehicles. The ITS infrastructure is critical yet not immune to both physical and cyber threats. Vehicles are cyber-physical systems which are a core component of ITS, can be either a target or a launching point for an attack on the ITS network. Unknown vehicle security vulnerabilities trigger a race among adversaries to exploit the weaknesses and security experts to mitigate the vulnerability. In this study, we identified opportunities for adversaries to take control of the in-vehicle network, which can compromise the safety, privacy, reliability, efficiency, and security of the transportation system. This study contributes in three ways to the literature of ITS security and resiliency. First, we aggregate individual risks that are associated with hacking the in-vehicle network to determine system-level risk. Second, we employ a risk-based model to conduct a qualitative vulnerability-oriented risk assessment. Third, we identify the consequences of hacking the in-vehicle network through a risk-based approach, using an impact-likelihood matrix. The qualitative assessment communicates risk outcomes for policy analysis. The outcome of this study would be of interest and usefulness to policymakers and engineers concerned with the potential vulnerabilities of such critical infrastructures.","Kaveh Bakhsh Kelarestaghi,Mahsa Foruhandeh,Kevin Heaslip,Ryan M. Gerdes",IEEE Intelligent Transportation Systems Magazine,2019
10.23919/jcc.2021.08.021,,,C-V2X equipment identification management and authentication mechanism,"Cellular vehicle-to-everything (C-V2X) is the most promising V2X communication technology which can greatly improve traffic efficiency and road safety. However, when vehicles are interconnected with the surrounding radio environment, the CV2X system will face various network security risks and threats, significantly impacting on traffic and life safety. This paper proposes a novel unified identification management framework and security authentication mechanism for the C-V2X equipment based on the security problems analyses of the C-V2X system and the existing security protection schemes. This paper also presents the security analysis and evaluation for the united identification management and authentication mechanism. A experiment system is implemented to verify feasibility and effectiveness for the proposed mechanism.","Shanzhi Chen,Chen Shanzhi,Qiang Li,Qiang Li,Qiang Li,Wang Yong,Hui Xu,Jia Xiaoyong",China Communications,2021
